name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2017-04-09,19,7.1,12.3,19,5.9,11.8,-3.7,33.6,0,0,0,,0,0,38.9,17.6,242.4,1019.8,15.8,16,291.2,25,9,,2017-04-09T06:26:10,2017-04-09T19:29:29,0.48,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-10,23.7,11.6,17.8,23.7,11.6,17.8,3.2,38.1,0,0,0,,0,0,40.7,17.6,205.7,1020.8,32,16,270.2,23.3,9,,2017-04-10T06:24:35,2017-04-10T19:30:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-11,26.2,15.9,20.4,26.2,15.9,20.4,8.8,48.2,0,0,0,,0,0,37.1,17.6,176.6,1019.3,27.6,16,279.9,24,9,,2017-04-11T06:23:01,2017-04-11T19:31:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-12,23.8,14.2,18.8,23.8,14.2,18.8,9.8,58.4,0.69,100,12.5,rain,0,0,42.5,16.8,153,1020.3,35.4,15.6,152.9,13.2,6,,2017-04-12T06:21:27,2017-04-12T19:32:37,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-13,18,9.6,13.7,18,6.7,13.3,-0.7,38.8,0,0,0,,0,0,50,24.3,303.3,1026.7,23.3,16,268.9,23.2,9,,2017-04-13T06:19:54,2017-04-13T19:33:40,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-14,18,9.4,13.3,18,8.2,13.2,-2.2,34.7,0,0,0,,0,0,29.5,19.2,121,1028.4,28.7,16,273.9,23.7,9,,2017-04-14T06:18:22,2017-04-14T19:34:43,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-15,18.1,10.6,14.2,18.1,10.6,14.2,4.5,53,0,0,0,,0,0,38.9,18.1,206.1,1025.9,47.6,16,188.6,16.4,5,,2017-04-15T06:16:50,2017-04-15T19:35:46,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-16,30,15.8,22.4,28.7,15.8,22.1,12.6,58.5,0.21,100,4.17,rain,0,0,74.6,30.8,249.6,1013.1,36.4,15.6,253.8,21.7,8,,2017-04-16T06:15:19,2017-04-16T19:36:49,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-17,23,16.8,20.1,23,16.8,20.1,5.7,43.5,0,0,0,,0,0,46.4,30,306.4,1014.2,32.6,16,194.7,16.8,5,,2017-04-17T06:13:49,2017-04-17T19:37:52,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-18,18.1,9.7,13.3,18.1,7.4,13.3,1,44.3,0,0,0,,0,0,49.1,24.1,161,1027.2,14.7,16,305.5,26.3,9,,2017-04-18T06:12:19,2017-04-18T19:38:55,0.71,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
